time_of_the_day,Day,CPU_Usage(%),Memory_Usage(%),Network_bandwidth_usage,Number_of_active_request,Response_time(ms),Disk_I/O
00:00,Monday,45,60,120,180,250,35
00:01,Monday,46,61,121,181,251,36
00:02,Monday,47,62,122,182,252,37
00:03,Monday,48,63,123,183,253,38
00:04,Monday,49,64,124,184,254,39
00:05,Monday,50,65,125,185,255,40
00:06,Monday,51,66,126,186,256,41
00:07,Monday,52,67,127,187,257,42
00:08,Monday,53,68,128,188,258,43
00:09,Monday,54,69,129,189,259,44
00:10,Monday,55,70,130,190,260,45
00:11,Monday,56,71,131,191,261,46
00:12,Monday,57,72,132,192,262,47
00:13,Monday,58,73,133,193,263,48
00:14,Monday,59,74,134,194,264,49
00:15,Monday,60,75,135,195,265,50
00:16,Monday,61,76,136,196,266,51
00:17,Monday,62,77,137,197,267,52
00:18,Monday,63,78,138,198,268,53
00:19,Monday,64,79,139,199,269,54
00:20,Monday,65,80,140,200,270,55
00:21,Monday,66,81,141,201,271,56
00:22,Monday,67,82,142,202,272,57
00:23,Monday,68,83,143,203,273,58
00:24,Monday,69,84,144,204,274,59
00:25,Monday,70,85,145,205,275,60
00:26,Monday,71,86,146,206,276,61
00:27,Monday,72,87,147,207,277,62
00:28,Monday,73,88,148,208,278,63
00:29,Monday,74,89,149,209,279,64
00:30,Monday,75,90,150,210,280,65
00:31,Monday,76,91,151,211,281,66
00:32,Monday,77,92,152,212,282,67
00:33,Monday,78,93,153,213,283,68
00:34,Monday,79,94,154,214,284,69
00:35,Monday,80,95,155,215,285,70
00:36,Monday,81,96,156,216,286,71
00:37,Monday,82,97,157,217,287,72
00:38,Monday,83,98,158,218,288,73
00:39,Monday,84,99,159,219,289,74
00:40,Monday,85,100,160,220,290,75
00:41,Monday,84,99,159,219,289,74
00:42,Monday,83,98,158,218,288,73
00:43,Monday,82,97,157,217,287,72
00:44,Monday,81,96,156,216,286,71
00:45,Monday,80,95,155,215,285,70
00:46,Monday,79,94,154,214,284,69
00:47,Monday,78,93,153,213,283,68
00:48,Monday,77,92,152,212,282,67
00:49,Monday,76,91,151,211,281,66
00:50,Monday,75,90,150,210,280,65
00:51,Monday,74,89,149,209,279,64
00:52,Monday,73,88,148,208,278,63
00:53,Monday,72,87,147,207,277,62
00:54,Monday,71,86,146,206,276,61
00:55,Monday,70,85,145,205,275,60
00:56,Monday,69,84,144,204,274,59
00:57,Monday,68,83,143,203,273,58
00:58,Monday,67,82,142,202,272,57
00:59,Monday,66,81,141,201,271,56
01:00,Monday,65,80,140,200,270,55
01:01,Monday,64,79,139,199,269,54
01:02,Monday,63,78,138,198,268,53
01:03,Monday,62,77,137,197,267,52
01:04,Monday,61,76,136,196,266,51
01:05,Monday,60,75,135,195,265,50
01:06,Monday,59,74,134,194,264,49
01:07,Monday,58,73,133,193,263,48
01:08,Monday,57,72,132,192,262,47
01:09,Monday,56,71,131,191,261,46
01:10,Monday,55,70,130,190,260,45
01:11,Monday,54,69,129,189,259,44
01:12,Monday,53,68,128,188,258,43
01:13,Monday,52,67,127,187,257,42
01:14,Monday,51,66,126,186,256,41
01:15,Monday,50,65,125,185,255,40
01:16,Monday,49,64,124,184,254,39
01:17,Monday,48,63,123,183,253,38
01:18,Monday,47,62,122,182,252,37
01:19,Monday,46,61,121,181,251,36
01:20,Monday,45,60,120,180,250,35
01:21,Monday,46,61,121,181,251,36
01:22,Monday,47,62,122,182,252,37
01:23,Monday,48,63,123,183,253,38
01:24,Monday,49,64,124,184,254,39
01:25,Monday,50,65,125,185,255,40
01:26,Monday,51,66,126,186,256,41
01:27,Monday,52,67,127,187,257,42
01:28,Monday,53,68,128,188,258,43
01:29,Monday,54,69,129,189,259,44
01:30,Monday,55,70,130,190,260,45
01:31,Monday,56,71,131,191,261,46
01:32,Monday,57,72,132,192,262,47
01:33,Monday,58,73,133,193,263,48
01:34,Monday,59,74,134,194,264,49
01:35,Monday,60,75,135,195,265,50
01:36,Monday,61,76,136,196,266,51
01:37,Monday,62,77,137,197,267,52
01:38,Monday,63,78,138,198,268,53
01:39,Monday,64,79,139,199,269,54
01:40,Monday,65,80,140,200,270,55
01:41,Monday,64,79,139,199,269,54
01:42,Monday,63,78,138,198,268,53
