time_of_the_day,Day,CPU_Usage(%),Memory_Usage(%),Network_bandwidth_usage,Number_of_active_request,Response_time(ms),Disk_I/O,Predicted_Response(ms),Delta_ms
00:00,Monday,45,60,120,180,250,35.0,250.0,0.0
00:01,Monday,46,61,121,181,251,36.0,251.0,0.0
00:02,Monday,47,62,122,182,252,37.0,252.0,0.0
00:03,Monday,48,63,123,183,253,38.0,253.0,0.0
00:04,Monday,49,64,124,184,254,39.0,254.0,0.0
00:05,Monday,50,65,125,185,255,40.0,255.0,0.0
00:06,Monday,51,66,126,186,256,41.0,256.0,0.0
00:07,Monday,52,67,127,187,257,42.0,257.0,0.0
00:08,Monday,53,68,128,188,258,43.0,258.0,0.0
00:09,Monday,54,69,129,189,259,44.0,259.0,0.0
00:10,Monday,55,70,130,190,260,45.0,260.0,0.0
00:11,Monday,56,71,131,191,261,46.0,261.0,0.0
00:12,Monday,57,72,132,192,262,47.0,262.0,0.0
00:13,Monday,58,73,133,193,263,48.0,263.0,0.0
00:14,Monday,59,74,134,194,264,49.0,264.0,0.0
00:15,Monday,60,75,135,195,265,50.0,265.0,0.0
00:16,Monday,61,76,136,196,266,51.0,266.0,0.0
00:17,Monday,62,77,137,197,267,52.0,267.0,0.0
00:18,Monday,63,78,138,198,268,53.0,268.0,0.0
00:19,Monday,64,79,139,199,269,54.0,269.0,0.0
00:20,Monday,65,80,140,200,270,55.0,270.0,0.0
00:21,Monday,66,81,141,201,271,56.0,270.845,-0.15499999999997272
00:22,Monday,67,82,142,202,272,57.0,271.69,-0.3100000000000023
00:23,Monday,68,83,143,203,273,58.0,272.585,-0.41500000000002046
00:24,Monday,69,84,144,204,274,59.0,273.89,-0.11000000000001364
00:25,Monday,70,85,145,205,275,60.0,274.965,-0.03500000000002501
00:26,Monday,71,86,146,206,276,61.0,275.98,-0.01999999999998181
00:27,Monday,72,87,147,207,277,62.0,276.725,-0.27499999999997726
00:28,Monday,73,88,148,208,278,63.0,277.885,-0.1150000000000091
00:29,Monday,74,89,149,209,279,64.0,278.395,-0.6050000000000182
00:30,Monday,75,90,150,210,280,65.0,279.48,-0.5199999999999818
